gender,weight,height,bmi
0,207.529652546495,68.9623649903613,26.3495648443803
1,171.138240970308,63.8889217547298,27.8953757599494
0,213.142836184173,69.7226980766598,37.2487656835824
1,127.113297449004,62.6186978653038,28.2021496336457
1,261.306888292759,62.8674315806082,49.4506626555836
1,102.218990570871,63.7839430108479,17.0376035454681
0,188.780784358891,70.7907961238764,28.2011988387232
0,160.654712388085,69.3873342876963,22.7008954318235
1,174.216058196506,63.2760542393379,25.910915225328
1,218.03401805737,62.3122613902958,36.2150285115111
0,146.425410040509,69.2670840909395,23.3297970189972
0,141.386607401414,70.341286207034,17.6829160933082
0,195.422769311463,71.5240631942199,24.1396485934085
0,138.073411093141,69.1135055254065,20.9039230577961
1,223.644320768832,62.97177360418,38.2332995640365
0,150.844266458755,70.0855297424722,15.8320800325169
0,213.31250095101,68.335999978625,27.7306254253267
0,188.812629850518,68.4967742509703,26.5710146675234
0,178.718759180335,69.9102106729819,22.4015514689543
1,49.1621205546085,64.7865142365948,8.56838273673905
0,185.211641880299,68.8285368071814,27.3361260066671
1,175.458315822326,63.8844659128489,27.8765201383099
0,223.512208491188,67.5780451940731,37.2163865905941
0,194.045581232669,69.5704985807742,25.9046139790615
0,131.401637503466,68.9358925541953,21.2909990062434
1,213.649376686434,65.3004719790147,38.3878462632303
0,115.89635333996,70.0747224738268,17.3071225700042
1,180.669694283798,64.4047980815194,30.371699991758
1,173.074365397877,64.0085277513065,23.4627748829118
0,108.991659202802,71.0311600642405,16.2149250087255
1,178.158722279548,63.255213993238,24.8441250427348
1,199.89642736092,62.9030417772616,37.7757046418754
0,118.984378375713,68.8819099820413,20.7192346556506
1,215.69201835079,64.6651031445411,34.3404345844953
0,80.4715675288714,70.578495543686,12.9810467485622
1,151.736687384786,62.9892305916755,27.3988489999879
0,151.145305389746,68.1144044194588,24.3512466579056
0,174.2135649903,69.4152574545863,26.4374143658555
0,194.075813564085,69.5554418856005,26.7110521327095
0,148.954746519712,69.6592961274247,22.7398125157106
1,205.747241038262,65.965772312941,29.2017074067511
0,164.96881838816,68.8920477007061,24.51772634136
0,177.633340715897,68.4017250023474,24.3585082499421
1,214.718504554038,62.8032095113226,39.0483446227711
1,236.269578979077,65.1032993631842,38.6476295570748
1,192.16539371617,65.0358034956842,32.7596384599663
0,173.891902692037,71.0195417776706,26.1821277293263
0,195.985931111827,71.6072738267711,30.0987413754734
0,224.641954453198,69.13489432742,32.2298869786312
1,221.728071810182,64.6118359695272,34.0104126444368
0,130.788611935885,67.4260820981359,20.9892481507587
1,169.720463693038,63.3052605170929,29.5493594327037
1,186.766241275036,63.1841094688408,32.910939632834
0,215.212435442199,71.0858683699852,28.1548028693706
0,187.690776605102,70.0549803642238,22.2915002334709
1,208.803913010434,63.2674318259404,37.0346473592784
1,198.966653976836,62.7897311448454,42.0416577792052
1,179.308550348085,63.848355163971,32.9388754480329
0,235.487800130009,70.407030837521,37.3103313054041
0,226.622366116179,69.3522572548742,31.6018616268912
0,157.8591530365,69.6744427951165,28.0170417321398
1,208.314745269067,64.4945023155476,33.213886135878
1,149.391012918295,64.1951971866008,29.7871852698175
1,242.842645580469,67.0001067268817,37.3883004888855
1,133.159233269715,63.3017941740641,22.396805278206
0,181.062346590391,71.0692357940136,26.7521063550517
0,139.757079458416,69.9505994455523,18.6372169437004
0,172.501131984632,71.0666376190116,26.6094656463909
1,143.185241244698,64.2167571311645,23.0289029424936
1,77.1256851943572,62.1405583608684,16.2074524440511
0,182.613500871611,70.715203418797,25.9697952496341
1,115.259471618681,63.5996855070617,18.1643536963296
0,177.866277251585,72.1704463036455,21.4114810147623
1,252.067706782316,64.6633078425852,46.2109194197625
1,231.557626933257,63.5561295392395,42.6482855074304
1,148.225144637514,64.4895198444583,27.2526954857911
1,222.145800361198,64.9156250125358,36.6944285114696
1,133.166349223534,64.1047572753475,20.497227423086
0,189.279654198684,73.1712924831509,22.9738008341339
1,159.625969790819,65.093184986237,25.5693452703551
0,190.882837588537,70.1039246597862,23.0764838582983
1,147.159803412392,64.9608599512052,26.2772447097109
1,135.708543104015,64.196207943031,27.1904459924032
1,100.282380465562,64.498110977558,13.2904155753488
0,194.399956486718,70.7508862667652,26.1329943083668
1,201.311846804128,65.3138570177625,32.7561919565047
0,222.341463460588,70.2122876629196,35.0727430344211
0,216.471609359679,70.2855617572089,31.3307557320193
0,221.488102153245,68.4981062123731,35.4711350644994
0,203.201762992394,69.2556067815645,26.0951292046916
1,200.335546743692,64.8459724614122,34.4872357560601
1,241.831128829265,62.8261441892395,43.0797279007839
1,192.428212786021,65.2238761132057,33.1188831361227
1,184.980785641067,64.0849323666661,28.0213220407631
1,152.190296304102,64.5797060608593,28.1069005828553
1,183.702499465001,63.4418245705177,30.6293248183492
